ACTA_NUMERO|CAUSA_NUMERO|CAUSA_AÑO
236065|998232|2025
236066|998233|2025
236068|998235|2025
236069|998236|2025
236073|998238|2025
236075|998240|2025
236077|998241|2025
236078|998242|2025
236080|998243|2025
236082|998244|2025
236083|998245|2025
236086|998247|2025
236087|998248|2025
236092|998249|2025
236097|998250|2025
236098|998251|2025
236100|998252|2025
236104|998253|2025
236108|998254|2025
236110|998255|2025
236112|998256|2025
236114|998257|2025
236115|998258|2025
236116|998259|2025
236123|998260|2025
236124|998261|2025
236125|998262|2025
236126|998263|2025
236127|998264|2025
236128|998265|2025
236129|998266|2025
236131|998267|2025
236134|998268|2025
236137|998269|2025
236140|998270|2025
236141|998271|2025
236142|998272|2025
236143|998273|2025
236145|998274|2025
236146|998275|2025
236148|998276|2025
236150|998277|2025
236151|998278|2025
236152|998279|2025
236153|998280|2025
236158|998282|2025
236159|998283|2025
236160|998284|2025
236162|998285|2025
236169|998288|2025
236171|998289|2025
236173|998291|2025
236174|998292|2025
236175|998293|2025
236178|998295|2025
236179|998296|2025
236180|998297|2025
236181|998298|2025
236185|998300|2025
236187|998301|2025
236189|998303|2025
236191|998304|2025
236194|998305|2025
236200|998307|2025
236203|998309|2025
236204|998310|2025
236208|998312|2025
236209|998313|2025
236213|998314|2025
236215|998315|2025
236222|998317|2025
236225|998318|2025
236227|998319|2025
236228|998320|2025
236229|998321|2025
236235|998323|2025
236238|998324|2025
236240|998325|2025
236241|998326|2025
236244|998328|2025
236245|998329|2025
236246|998330|2025
236247|998331|2025
236249|998332|2025
236253|998334|2025
236261|998335|2025
236262|998336|2025
236266|998339|2025
236268|998341|2025
236269|998342|2025
236272|998343|2025
236273|998344|2025
236274|998345|2025
236284|998346|2025
236286|998347|2025
236287|998348|2025
236288|998349|2025
236289|998350|2025
236293|998352|2025
236295|998353|2025
236296|998354|2025
236297|998355|2025
236299|998356|2025
236301|998357|2025
236304|998358|2025
236316|998361|2025
236319|998362|2025
236325|998365|2025
236326|998366|2025
236327|998367|2025
236328|998368|2025
236329|998369|2025
236331|998370|2025
236334|998373|2025
236336|998374|2025
236338|998376|2025
236339|998377|2025
236342|998378|2025
236345|998379|2025
236347|998380|2025
236348|998381|2025
236349|998382|2025
236357|998385|2025
236358|998386|2025
236359|998387|2025
236363|998388|2025
236367|998390|2025
236368|998391|2025
236372|998393|2025
236373|998394|2025
236375|998395|2025
236376|998396|2025
236377|998397|2025
236379|998398|2025
236380|998399|2025
236382|998400|2025
236386|998401|2025
236389|998402|2025
236396|998404|2025
236398|998405|2025
236401|998406|2025
236402|998407|2025
236404|998408|2025
236406|998409|2025
236407|998410|2025
236413|998414|2025
236425|998418|2025
236428|998419|2025
236430|998420|2025
236434|998421|2025
236437|998422|2025
236439|998423|2025
236440|998424|2025
236442|998425|2025
236444|998426|2025
236445|998427|2025
236446|998428|2025
236448|998429|2025
236449|998430|2025
236450|998431|2025
236451|998432|2025
236452|998433|2025
236456|998435|2025
236457|998436|2025
236461|998437|2025
236462|998438|2025
236464|998439|2025
236467|998441|2025
236470|998443|2025
236471|998444|2025
236477|998446|2025
236482|998448|2025
236491|998451|2025
235071|997700|2025
235074|997701|2025
235075|997702|2025
235077|997703|2025
235084|997704|2025
235085|997705|2025
235095|997708|2025
235097|997709|2025
235098|997710|2025
235099|997711|2025
235100|997712|2025
235102|997713|2025
235103|997714|2025
235107|997716|2025
235110|997718|2025
235114|997720|2025
235116|997721|2025
235117|997722|2025
235123|997725|2025
235128|997727|2025
235134|997729|2025
235136|997730|2025
235138|997732|2025
235140|997733|2025
235142|997734|2025
235148|997736|2025
235152|997738|2025
235157|997741|2025
235160|997743|2025
235161|997744|2025
235162|997745|2025
235163|997746|2025
235164|997747|2025
235167|997749|2025
235169|997750|2025
235176|997752|2025
235178|997753|2025
235179|997754|2025
235184|997756|2025
235185|997757|2025
235187|997758|2025
235188|997759|2025
235189|997760|2025
235191|997761|2025
235192|997762|2025
235193|997763|2025
235194|997764|2025
235195|997765|2025
235198|997766|2025
235199|997767|2025
235200|997768|2025
235201|997769|2025
235202|997770|2025
235204|997772|2025
235209|997774|2025
235211|997775|2025
235214|997777|2025
235215|997778|2025
235216|997779|2025
235221|997781|2025
235222|997782|2025
235223|997783|2025
235226|997784|2025
235228|997786|2025
235231|997787|2025
235232|997788|2025
235233|997789|2025
235234|997790|2025
235236|997791|2025
235239|997793|2025
235243|997794|2025
235244|997795|2025
235245|997796|2025
235248|997797|2025
235250|997799|2025
235251|997800|2025
235254|997802|2025
235258|997804|2025
235259|997805|2025
235260|997806|2025
235262|997807|2025
235263|997808|2025
235268|997809|2025
235269|997810|2025
235270|997811|2025
235271|997812|2025
235272|997813|2025
235276|997814|2025
235277|997815|2025
235279|997816|2025
235282|997817|2025
235284|997818|2025
235286|997819|2025
235287|997820|2025
235289|997821|2025
235290|997822|2025
235291|997823|2025
235296|997824|2025
235298|997825|2025
235299|997826|2025
235302|997827|2025
235303|997828|2025
235305|997829|2025
235313|997830|2025
235314|997831|2025
235316|997832|2025
235319|997833|2025
235325|997835|2025
235329|997836|2025
235331|997837|2025
235335|997838|2025
235338|997839|2025
235339|997840|2025
235341|997841|2025
235342|997842|2025
235343|997843|2025
235347|997846|2025
235351|997847|2025
235357|997850|2025
235358|997851|2025
235359|997852|2025
235360|997853|2025
235361|997854|2025
235362|997855|2025
235365|997856|2025
235369|997858|2025
235374|997859|2025
235375|997860|2025
235376|997861|2025
235378|997863|2025
235379|997864|2025
235380|997865|2025
235381|997866|2025
235382|997867|2025
235388|997869|2025
235389|997870|2025
235394|997871|2025
235396|997872|2025
235400|997874|2025
235401|997875|2025
235404|997876|2025
235405|997877|2025
235408|997878|2025
235411|997879|2025
235412|997880|2025
235413|997881|2025
235418|997883|2025
235419|997884|2025
235422|997885|2025
235427|997886|2025
235430|997887|2025
235435|997888|2025
235441|997889|2025
235442|997890|2025
235443|997891|2025
235446|997893|2025
235447|997894|2025
235448|997895|2025
235450|997896|2025
235452|997897|2025
235455|997898|2025
235456|997899|2025
235459|997900|2025
235461|997901|2025
235462|997902|2025
235463|997903|2025
235464|997904|2025
235472|997908|2025
235473|997909|2025
235475|997910|2025
235476|997911|2025
235477|997912|2025
235478|997913|2025
235481|997915|2025
235484|997916|2025
235488|997918|2025
235490|997919|2025
235496|997920|2025
235498|997921|2025
235499|997922|2025
235502|997923|2025
235507|997924|2025
235512|997925|2025
235513|997926|2025
235514|997927|2025
235515|997928|2025
235517|997930|2025
235521|997931|2025
235523|997932|2025
235525|997933|2025
235527|997934|2025
235528|997935|2025
235531|997936|2025
235532|997937|2025
235533|997938|2025
235534|997939|2025
235538|997941|2025
235541|997942|2025
235544|997943|2025
235545|997944|2025
235546|997945|2025
235549|997947|2025
235550|997948|2025
235553|997949|2025
235557|997950|2025
235559|997952|2025
235560|997953|2025
235561|997954|2025
235563|997956|2025
235564|997957|2025
235568|997958|2025
235570|997959|2025
235572|997960|2025
235575|997962|2025
235576|997963|2025
235578|997964|2025
235579|997965|2025
235581|997966|2025
235587|997968|2025
235589|997969|2025
235594|997970|2025
235598|997972|2025
235600|997973|2025
235601|997974|2025
235602|997975|2025
235603|997976|2025
235604|997977|2025
235605|997978|2025
235606|997979|2025
235609|997982|2025
235610|997983|2025
235614|997986|2025
235616|997987|2025
235618|997988|2025
235619|997989|2025
235620|997990|2025
235621|997991|2025
235623|997992|2025
235624|997993|2025
235625|997994|2025
235627|997995|2025
235628|997996|2025
235629|997997|2025
235633|997999|2025
235637|998002|2025
235639|998003|2025
235641|998004|2025
235645|998006|2025
235646|998007|2025
235650|998008|2025
235652|998009|2025
235653|998010|2025
235657|998012|2025
235662|998013|2025
235664|998015|2025
235665|998016|2025
235668|998017|2025
235671|998018|2025
235672|998019|2025
235674|998020|2025
235675|998021|2025
235680|998022|2025
235682|998023|2025
235684|998024|2025
235686|998025|2025
235687|998026|2025
235692|998027|2025
235701|998029|2025
235703|998030|2025
235706|998031|2025
235707|998032|2025
235708|998033|2025
235710|998034|2025
235711|998035|2025
235712|998036|2025
235714|998037|2025
235719|998039|2025
235720|998040|2025
235722|998041|2025
235723|998042|2025
235726|998044|2025
235730|998046|2025
235736|998048|2025
235739|998049|2025
235740|998050|2025
235743|998051|2025
235745|998052|2025
235746|998053|2025
235750|998055|2025
235753|998056|2025
235754|998057|2025
235755|998058|2025
235758|998060|2025
235761|998061|2025
235763|998063|2025
235766|998064|2025
235770|998066|2025
235771|998067|2025
235772|998068|2025
235775|998069|2025
235776|998070|2025
235778|998071|2025
235779|998072|2025
235782|998073|2025
235784|998074|2025
235785|998075|2025
235786|998076|2025
235792|998078|2025
235794|998079|2025
235795|998080|2025
235796|998081|2025
235800|998083|2025
235805|998085|2025
235820|998091|2025
235823|998092|2025
235824|998093|2025
235827|998095|2025
235828|998096|2025
235829|998097|2025
235830|998098|2025
235832|998099|2025
235834|998100|2025
235837|998101|2025
235839|998102|2025
235841|998103|2025
235844|998104|2025
235853|998106|2025
235855|998107|2025
235857|998109|2025
235859|998110|2025
235863|998111|2025
234426|997340|2025
234428|997342|2025
234429|997343|2025
234430|997344|2025
234431|997345|2025
234432|997346|2025
234433|997347|2025
234436|997348|2025
234438|997349|2025
234441|997350|2025
234442|997351|2025
234443|997352|2025
234447|997353|2025
234449|997354|2025
234450|997355|2025
234452|997356|2025
234454|997357|2025
234455|997358|2025
234456|997359|2025
234458|997361|2025
234459|997362|2025
234460|997363|2025
234463|997364|2025
234465|997365|2025
234466|997366|2025
234467|997367|2025
234468|997368|2025
234469|997369|2025
234470|997370|2025
234471|997371|2025
234472|997372|2025
234473|997373|2025
234477|997374|2025
234478|997375|2025
234479|997376|2025
234481|997378|2025
234482|997379|2025
234484|997380|2025
234489|997382|2025
234496|997384|2025
234497|997385|2025
234499|997386|2025
234500|997387|2025
234502|997388|2025
234503|997389|2025
234504|997390|2025
234505|997391|2025
234508|997392|2025
234510|997393|2025
234512|997394|2025
234513|997395|2025
234514|997396|2025
234515|997397|2025
234516|997398|2025
234518|997399|2025
234524|997402|2025
234525|997403|2025
234526|997404|2025
234528|997405|2025
234535|997409|2025
234540|997412|2025
234542|997413|2025
234547|997415|2025
234549|997417|2025
234550|997418|2025
234551|997419|2025
234553|997420|2025
234554|997421|2025
234556|997422|2025
234558|997423|2025
234559|997424|2025
234560|997425|2025
234561|997426|2025
234562|997427|2025
234563|997428|2025
234564|997429|2025
234565|997430|2025
234568|997431|2025
234570|997432|2025
234582|997434|2025
234584|997435|2025
234585|997436|2025
234586|997437|2025
234590|997438|2025
234593|997440|2025
234594|997441|2025
234596|997442|2025
234597|997443|2025
234601|997445|2025
234602|997446|2025
234603|997447|2025
234604|997448|2025
234607|997450|2025
234610|997452|2025
234611|997453|2025
234612|997454|2025
234615|997456|2025
234617|997458|2025
234620|997459|2025
234621|997460|2025
234622|997461|2025
234623|997462|2025
234625|997463|2025
234627|997464|2025
234629|997466|2025
234630|997467|2025
234631|997468|2025
234632|997469|2025
234633|997470|2025
234634|997471|2025
234635|997472|2025
234636|997473|2025
234639|997475|2025
234640|997476|2025
234642|997477|2025
234643|997478|2025
234645|997480|2025
234647|997482|2025
234648|997483|2025
234649|997484|2025
234651|997485|2025
234652|997486|2025
234658|997489|2025
234659|997490|2025
234660|997491|2025
234662|997492|2025
234664|997493|2025
234668|997495|2025
234669|997496|2025
234671|997497|2025
234672|997498|2025
234676|997501|2025
234677|997502|2025
234678|997503|2025
234680|997504|2025
234681|997505|2025
234683|997506|2025
234688|997507|2025
234689|997508|2025
234692|997510|2025
234693|997511|2025
234694|997512|2025
234696|997513|2025
234697|997514|2025
234700|997516|2025
234702|997517|2025
234704|997518|2025
234708|997519|2025
234712|997520|2025
234714|997522|2025
234716|997523|2025
234718|997524|2025
234719|997525|2025
234720|997526|2025
234724|997528|2025
234725|997529|2025
234726|997530|2025
234727|997531|2025
234729|997533|2025
234731|997535|2025
234732|997536|2025
234734|997537|2025
234737|997539|2025
234738|997540|2025
234739|997541|2025
234741|997543|2025
234742|997544|2025
234744|997545|2025
234745|997546|2025
234748|997547|2025
234749|997548|2025
234751|997550|2025
234753|997551|2025
234755|997552|2025
234758|997554|2025
234760|997556|2025
234761|997557|2025
234765|997558|2025
234767|997559|2025
234769|997560|2025
234772|997561|2025
234774|997562|2025
234781|997563|2025
234784|997564|2025
234785|997565|2025
234786|997566|2025
234787|997567|2025
234790|997568|2025
234791|997569|2025
234793|997570|2025
234795|997571|2025
234801|997573|2025
234804|997574|2025
234807|997575|2025
234808|997576|2025
234812|997577|2025
234814|997578|2025
234815|997579|2025
234817|997580|2025
234823|997581|2025
234824|997582|2025
234830|997584|2025
234831|997585|2025
234833|997587|2025
234835|997588|2025
234839|997590|2025
234843|997591|2025
234844|997592|2025
234846|997593|2025
234847|997594|2025
234848|997595|2025
234851|997597|2025
234852|997598|2025
234853|997599|2025
234855|997600|2025
234859|997601|2025
234860|997602|2025
234862|997603|2025
234863|997604|2025
234864|997605|2025
234865|997606|2025
234866|997607|2025
234867|997608|2025
234869|997609|2025
234873|997611|2025
234874|997612|2025
234875|997613|2025
234879|997614|2025
234882|997615|2025
234884|997616|2025
234888|997618|2025
234894|997619|2025
234897|997620|2025
234900|997622|2025
234904|997623|2025
234906|997624|2025
234914|997625|2025
234915|997626|2025
234918|997628|2025
234919|997629|2025
234920|997630|2025
234922|997631|2025
234923|997632|2025
234924|997633|2025
234926|997634|2025
234938|997637|2025
234939|997638|2025
234941|997639|2025
234942|997640|2025
234945|997642|2025
234947|997643|2025
234948|997644|2025
234949|997645|2025
234951|997646|2025
234953|997647|2025
234957|997648|2025
234960|997650|2025
234964|997652|2025
234965|997653|2025
234966|997654|2025
234970|997656|2025
234972|997658|2025
234978|997660|2025
234979|997661|2025
234981|997662|2025
234983|997663|2025
234986|997664|2025
234989|997665|2025
234990|997666|2025
234993|997667|2025
234996|997669|2025
235000|997670|2025
235007|997672|2025
235011|997674|2025
235012|997675|2025
235014|997676|2025
235015|997677|2025
235018|997678|2025
235022|997679|2025
235023|997680|2025
235025|997681|2025
235027|997682|2025
235029|997683|2025
235032|997684|2025
235033|997685|2025
235035|997686|2025
235041|997687|2025
235049|997689|2025
235053|997690|2025
235057|997691|2025
235058|997692|2025
235060|997694|2025
235062|997696|2025
235067|997697|2025
235068|997698|2025
235069|997699|2025
233769|997000|2025
233770|997001|2025
233772|997002|2025
233775|997003|2025
233776|997004|2025
233777|997005|2025
233779|997007|2025
233780|997008|2025
233785|997009|2025
233786|997010|2025
233789|997011|2025
233791|997012|2025
233792|997013|2025
233793|997014|2025
233794|997015|2025
233796|997016|2025
233797|997017|2025
233798|997018|2025
233800|997019|2025
233806|997020|2025
233808|997021|2025
233810|997022|2025
233815|997024|2025
233817|997025|2025
233820|997027|2025
233822|997028|2025
233825|997029|2025
233829|997030|2025
233831|997031|2025
233832|997032|2025
233834|997033|2025
233838|997036|2025
233839|997037|2025
233840|997038|2025
233841|997039|2025
233843|997040|2025
233846|997042|2025
233848|997043|2025
233852|997044|2025
233854|997045|2025
233855|997046|2025
233858|997047|2025
233859|997048|2025
233861|997049|2025
233862|997050|2025
233865|997051|2025
233866|997052|2025
233867|997053|2025
233869|997054|2025
233870|997055|2025
233871|997056|2025
233872|997057|2025
233873|997058|2025
233874|997059|2025
